MatchStatID,ClubID,OpponentClubID,SeasonID,CapitainPlayerID,DateID,MatchProfileID,Venue,GoalsFor,GoalsAgainst,Result,ExpectedGoals,ExpectedGoalsAllowed,Possession,Attendance,Formation,OpponentFormation,Referee
2195,204,196,2023/24,35881,2024-01-03,768,Home,2.0,1.0,Won,2.70000004768372,1.39999997615814,40.0,21105.0,4-4-2,4-2-3-1,Miguel Ángel Ortiz Arias
2196,261,196,2021/22,36036,2022-01-16,687,Away,1.0,2.0,Lost,-1.0,-1.0,45.0,-1.0,4-3-3,4-2-3-1,Ricardo de Burgos
2197,271,196,2024/25,36532,2024-11-23,763,Home,4.0,2.0,Won,1.5,1.29999995231628,48.0,43975.0,5-4-1,4-2-3-1,Ricardo de Burgos
2198,190,196,2021/22,35937,2021-12-19,767,Home,3.0,2.0,Won,1.29999995231628,2.09999990463257,44.0,38002.0,4-4-2,4-2-3-1,Jesús Gil
2199,204,196,2020/21,35874,2021-01-20,768,Away,1.0,2.0,Lost,1.10000002384186,0.800000011920929,57.0,-1.0,4-1-3-2,4-2-3-1,Juan Martínez
2200,323,196,2022/23,38313,2023-05-15,785,Away,1.0,3.0,Lost,1.29999995231628,1.5,51.0,48143.0,4-2-3-1,4-2-3-1,Juan Pulido
2201,271,196,2022/23,36532,2022-11-10,763,Home,3.0,0.0,Won,2.0,0.200000002980232,62.0,39876.0,4-3-3,4-2-3-1,Miguel Ángel Ortiz Arias
2202,190,196,2019/20,35937,2020-06-20,781,Home,1.0,0.0,Won,1.70000004768372,1.79999995231628,43.0,-1.0,4-2-3-1,4-3-3,Valentín Pizarro
2203,204,196,2023/24,35881,2024-04-12,782,Away,1.0,2.0,Lost,1.60000002384186,1.20000004768372,53.0,48938.0,3-4-3,4-2-3-1,Juan Martínez
2204,255,196,2017/18,39049,2017-09-20,791,Home,0.0,1.0,Lost,3.5,1.10000002384186,60.0,65102.0,4-3-1-2,4-3-3,Antonio Matéu Lahoz
2205,274,196,2019/20,38938,2019-09-27,793,Home,5.0,1.0,Won,3.20000004768372,0.699999988079071,43.0,18135.0,4-2-3-1,4-4-2,Javier Estrada
2206,194,196,2019/20,39033,2019-08-25,769,Home,5.0,2.0,Won,2.59999990463257,0.200000002980232,70.0,79159.0,4-3-3,4-4-2,José González
2207,319,196,2022/23,39015,2023-04-15,779,Away,1.0,3.0,Lost,0.800000011920929,2.0,48.0,45313.0,4-3-3,4-2-3-1,Alejandro Hernández
2208,255,196,2022/23,36713,2022-09-03,790,Home,2.0,1.0,Won,2.90000009536743,0.5,49.0,58579.0,4-3-3,4-2-3-1,José Sánchez
2209,274,196,2019/20,37335,2020-07-01,784,Away,2.0,0.0,Won,2.40000009536743,0.5,54.0,-1.0,4-4-2,3-4-3,Jesús Gil
2210,185,196,2017/18,37330,2017-10-21,795,Away,0.0,2.0,Lost,0.699999988079071,0.800000011920929,33.0,49243.0,5-4-1,4-1-4-1,Daniel Trujillo
2211,204,196,2022/23,35874,2022-10-02,793,Home,1.0,0.0,Won,0.899999976158142,0.899999976158142,46.0,14344.0,4-1-3-2,4-2-3-1,César Soto
2212,301,196,2022/23,34818,2023-04-22,781,Home,3.0,2.0,Won,1.5,2.0,38.0,19723.0,4-3-3,4-2-3-1,Alberola Rojas
2213,274,196,2023/24,35620,2023-08-13,758,Home,1.0,2.0,Lost,0.899999976158142,1.10000002384186,63.0,17825.0,4-3-3,4-2-3-1,Miguel Ángel Ortiz Arias
2214,185,196,2021/22,39562,2021-10-18,795,Home,0.0,1.0,Lost,0.899999976158142,1.39999997615814,37.0,10227.0,4-4-2,4-2-3-1,Miguel Ángel Ortiz Arias
2215,358,196,2024/25,36204,2025-05-04,785,Home,1.0,2.0,Lost,1.20000004768372,1.10000002384186,38.0,29126.0,4-2-3-1,4-2-3-1,Guillermo Cuadra
2216,261,196,2024/25,38046,2025-03-30,779,Away,1.0,2.0,Lost,0.699999988079071,1.10000002384186,45.0,58538.0,4-1-4-1,4-2-3-1,Mateo Busquets
2217,274,196,2022/23,38591,2022-09-11,791,Away,0.0,1.0,Lost,1.70000004768372,1.39999997615814,53.0,53276.0,4-4-2,4-2-3-1,Ricardo de Burgos
2218,185,196,2017/18,37330,2018-03-12,778,Home,1.0,3.0,Lost,1.0,1.20000004768372,49.0,17239.0,4-4-2,4-4-2,Carlos del Cerro
2219,204,196,2024/25,35470,2025-02-08,773,Home,3.0,2.0,Won,2.20000004768372,1.29999995231628,55.0,22651.0,3-4-3,4-2-3-1,Mateo Busquets
2220,261,196,2020/21,36318,2021-01-02,766,Away,1.0,1.0,Draw,0.200000002980232,2.09999990463257,55.0,-1.0,4-3-3,4-2-3-1,Carlos del Cerro
2221,274,196,2024/25,38591,2024-12-15,766,Home,1.0,2.0,Lost,1.89999997615814,0.800000011920929,62.0,18757.0,4-4-2,4-2-3-1,Guillermo Cuadra
2222,194,196,2023/24,37374,2023-09-16,791,Home,5.0,0.0,Won,2.40000009536743,0.800000011920929,65.0,45055.0,4-3-3,4-2-3-1,José Sánchez
2223,210,196,2017/18,39575,2018-03-17,779,Away,0.0,3.0,Lost,0.200000002980232,0.800000011920929,32.0,31230.0,4-4-2,3-5-2,Ricardo de Burgos
2224,255,196,2023/24,37988,2024-05-25,789,Home,0.0,0.0,Draw,1.0,0.699999988079071,59.0,73614.0,4-3-1-2,4-4-1-1,Isidro Díaz de Mera
2225,274,196,2020/21,37471,2020-12-13,762,Away,1.0,1.0,Draw,1.20000004768372,0.600000023841858,54.0,-1.0,4-4-2,4-2-3-1,Valentín Pizarro
2226,191,196,2020/21,36872,2021-04-11,781,Away,1.0,1.0,Draw,1.29999995231628,0.800000011920929,47.0,-1.0,3-1-4-2,4-2-3-1,Guillermo Cuadra
2227,358,196,2024/25,39019,2024-09-29,794,Away,0.0,1.0,Lost,0.5,2.09999990463257,47.0,53065.0,4-4-2,4-2-3-1,Alejandro Hernández
2228,255,196,2021/22,36713,2021-08-28,780,Away,1.0,0.0,Won,0.899999976158142,0.600000023841858,50.0,22590.0,4-3-3,4-2-3-1,Alejandro Hernández
2229,274,196,2020/21,38591,2021-02-14,773,Home,1.0,2.0,Lost,1.29999995231628,1.0,56.0,-1.0,4-3-3,4-2-3-1,Jesús Gil
2230,194,196,2023/24,38781,2024-01-21,771,Away,4.0,2.0,Won,3.0,1.10000002384186,63.0,53288.0,4-3-3,4-2-3-1,Jesús Gil
2231,204,196,2018/19,35874,2019-03-10,777,Home,0.0,1.0,Lost,0.400000005960464,1.20000004768372,38.0,18005.0,4-4-1-1,3-1-4-2,Javier Estrada
2232,261,196,2019/20,36318,2020-06-11,778,Home,2.0,0.0,Won,1.70000004768372,0.5,46.0,-1.0,4-3-3,4-3-3,Antonio Matéu Lahoz
2233,274,196,2021/22,37335,2021-10-03,794,Home,2.0,0.0,Won,2.59999990463257,0.5,58.0,16719.0,4-1-4-1,4-2-3-1,José Sánchez
2234,194,196,2021/22,39033,2022-05-07,786,Away,2.0,1.0,Won,1.20000004768372,0.699999988079071,57.0,46132.0,4-3-3,4-2-3-1,Antonio Matéu Lahoz
2235,210,196,2017/18,39575,2017-10-30,759,Home,1.0,0.0,Won,0.899999976158142,0.400000005960464,40.0,17856.0,4-4-2,4-3-3,Ignacio Iglesias
2236,323,196,2023/24,38314,2024-03-17,779,Home,2.0,0.0,Won,0.699999988079071,0.800000011920929,39.0,13264.0,4-2-3-1,4-2-3-1,Juan Pulido
2237,274,196,2018/19,37471,2019-04-07,782,Away,1.0,2.0,Lost,1.5,1.79999995231628,44.0,28475.0,3-4-3,3-1-4-2,Javier Estrada
2238,194,196,2021/22,39033,2021-12-04,765,Home,0.0,1.0,Lost,1.0,0.600000023841858,63.0,66529.0,4-3-3,4-2-3-1,Pablo González
2239,204,196,2017/18,35874,2017-08-25,769,Away,1.0,2.0,Lost,0.300000011920929,1.60000002384186,54.0,45761.0,4-3-3,4-1-4-1,Ricardo de Burgos
2240,323,196,2021/22,38313,2022-02-09,690,Home,1.0,2.0,Lost,-1.0,-1.0,52.0,9034.0,4-2-3-1,4-2-3-1,José Sánchez
2241,274,196,2017/18,36190,2017-09-10,780,Home,3.0,1.0,Won,1.5,0.899999976158142,49.0,18638.0,4-4-2,4-3-3,David Medié
2242,185,196,2018/19,35387,2019-02-17,774,Away,1.0,1.0,Draw,1.20000004768372,3.09999990463257,34.0,43455.0,4-1-4-1,3-4-3,Antonio Matéu Lahoz
2243,210,196,2018/19,39575,2018-12-16,765,Home,1.0,3.0,Lost,0.600000023841858,1.70000004768372,34.0,20275.0,4-3-3,3-1-4-2,José Sánchez
2244,256,196,2020/21,37854,2020-10-18,792,Away,3.0,0.0,Won,1.70000004768372,0.400000005960464,45.0,-1.0,4-1-4-1,4-2-3-1,Javier Estrada
2245,274,196,2018/19,37471,2018-11-25,762,Home,2.0,1.0,Won,0.899999976158142,0.899999976158142,36.0,16028.0,4-1-2-1-2?,3-1-4-2,Eduardo Prieto
2246,190,196,2023/24,35937,2023-08-27,780,Home,4.0,2.0,Won,2.90000009536743,0.400000005960464,48.0,44340.0,4-2-3-1,4-2-3-1,César Soto
2247,210,196,2018/19,36199,2019-01-30,686,Away,1.0,3.0,Lost,-1.0,-1.0,39.0,40028.0,4-4-2,3-1-4-2,Ricardo de Burgos
2248,301,196,2019/20,38218,2019-09-20,791,Home,0.0,0.0,Draw,2.09999990463257,0.400000005960464,50.0,15569.0,4-4-2,4-2-3-1,Carlos del Cerro
2249,274,196,2024/25,34734,2025-04-13,782,Away,2.0,1.0,Won,1.29999995231628,1.39999997615814,32.0,54778.0,4-4-2,4-2-3-1,Juan Pulido
2250,191,196,2022/23,36872,2023-04-02,777,Home,1.0,0.0,Won,1.60000002384186,0.600000023841858,54.0,61623.0,5-3-2,4-4-2,Juan Martínez
2251,210,196,2018/19,36199,2019-04-29,786,Away,1.0,1.0,Draw,1.10000002384186,1.39999997615814,46.0,30561.0,5-3-2,3-4-3,Carlos del Cerro
2252,323,196,2022/23,38313,2023-01-08,765,Home,1.0,2.0,Lost,1.60000002384186,0.899999976158142,62.0,13119.0,4-4-1-1,4-2-3-1,Isidro Díaz de Mera
